carriers,electricity,,,,,,,,,,,
,,,,,,,,,,,,
Sum of carrier_prod,Column Labels,,,,,,,,,,,
Row Labels,battery_storage,biomass,grid_electricity,pv_parking_1,pv_parking_2,pv_parking_3,pv_parking_4,pv_rooftop_1,pv_rooftop_2,pv_rooftop_3,pv_rooftop_4,Grand Total
Jan,51416.15102,138472.6869,244930.8983,60295.06892,4877.516783,24225.18822,75068.82271,19468.96174,31520.48117,9345.163713,33362.01849,692982.958
Feb,46144.70868,128507.6191,202060.7887,69414.52619,4313.396627,22579.93021,74141.09818,18666.27359,32170.49326,9495.420425,34355.79486,641850.0499
Mar,50087.6172,132617.5368,171486.5304,91221.19828,5307.669115,26815.03807,82274.5593,18367.59012,31109.9838,11952.52779,44925.03252,666165.2834
Apr,48855.41364,119166.688,120320.5682,82554.74687,5160.250634,23590.35878,103231.1458,18657.39995,30574.3838,7569.788604,44813.08527,604493.8296
May,50087.07504,110061.3488,80208.84816,109683.9315,4588.707642,20796.98569,84921.2562,15987.86715,40829.59782,9306.191128,39443.74926,565915.5584
Jun,48855.41364,102439.5188,66152.33845,107814.041,4908.632456,19877.70014,78257.64663,15430.84701,37491.31297,10173.17517,38748.90326,530149.5295
Jul,50471.15708,105074.9663,70295.92998,99166.4948,4838.837007,20531.08323,84575.35308,19081.91433,38245.91381,7606.703634,44450.21194,544338.5652
Aug,50723.81334,106162.9088,89046.499,100825.0946,5338.14019,21976.78761,80454.37334,14388.20638,37949.6819,9468.749226,33226.96197,549561.2163
Sep,49620.33896,102283.1213,106954.2546,77016.21821,4252.62779,19121.80206,80421.66354,14809.25813,28338.42004,8324.318257,39484.11635,530626.1392
Oct,50086.34732,116501.527,157616.59,83569.72591,5282.759884,24791.46744,74503.57512,15431.97924,27568.60641,9372.141377,29813.8538,594538.5734
Nov,48990.24847,125194.4167,207702.9493,60329.27225,5144.206524,22328.53302,67891.85055,19077.95942,30526.11017,9399.47371,34906.49433,631491.5144
Dec,49272.90428,134660.6392,253178.9946,62854.68154,4328.642034,22474.144,58370.25546,20302.5285,23421.237,9202.267584,37179.44423,675245.7385
Grand Total,594611.1887,1421142.977,1769955.19,1004745,58341.38668,269109.0185,944111.5999,209670.7855,389746.2221,111215.9206,454709.6663,7227358.956
