carriers,(Multiple Items),,,
,,,,
Sum of carrier_con,Column Labels,,,
Row Labels,battery_storage,biomass,demand_electricity,Grand Total
Jan,-77548.79319,-769292.7065,-615434.165,-1462275.665
Feb,-70705.075,-713931.2197,-571144.975,-1355781.27
Mar,-76754.00856,-736764.0945,-589411.275,-1402929.378
Apr,-74864.10468,-662037.1565,-529629.725,-1266530.986
May,-76754.00856,0,-489161.55,-565915.5586
Jun,-74862.77966,0,-455286.75,-530149.5297
Jul,-77338.71542,0,-466999.85,-544338.5654
Aug,-77726.06649,0,-471835.15,-549561.2165
Sep,-76034.48931,-304288.75,-454591.65,-834914.8893
Oct,-76754.00856,-647230.7068,-517784.565,-1241769.28
Nov,-75071.88458,-695524.5391,-556419.63,-1327016.054
Dec,-76754.00856,-748114.6632,-598491.73,-1423360.402
Grand Total,-911167.9426,-5277183.836,-6316191.015,-12504542.79
