carriers,(Multiple Items),,,,,,,,,,,
,,,,,,,,,,,,
Sum of carrier_prod,Column Labels,,,,,,,,,,,
Row Labels,battery_storage,biomass,grid_electricity,pv_parking_1,pv_parking_2,pv_parking_3,pv_parking_4,pv_rooftop_1,pv_rooftop_2,pv_rooftop_3,pv_rooftop_4,Grand Total
Jan,51416.15102,138472.6875,244930.8983,59129.30732,5090.349291,22512.23461,64543.09157,22935.13119,32732.58678,12132.40598,39088.11504,692982.9585
Feb,46144.70868,128507.6196,202060.7886,67398.90072,4833.026863,22908.53565,76178.4204,17824.15015,33164.37216,10145.84801,32683.67937,641850.0501
Mar,50087.6172,132617.5373,171486.5305,93648.4501,5933.071904,21667.41107,77107.17533,17430.78077,40643.9154,9544.041002,45998.75338,666165.284
Apr,48855.41364,119166.6882,120320.5683,97438.51801,5595.448794,24098.06263,100342.7549,17397.25447,29696.34411,9422.901065,32159.8757,604493.8298
May,50087.67161,0,118349.2508,106380.2102,7128.363394,31309.9752,116782.275,24663.59658,46080.46082,11495.63716,53638.11804,565915.5587
Jun,48855.41364,0,99541.68639,107821.4874,7033.770828,30017.97992,102945.1235,23320.24764,46138.0958,11933.42261,52542.30215,530149.5298
Jul,50471.15708,0,105357.343,113126.3547,7259.741656,33882.86869,113637.9955,21712.54461,38439.09581,11111.67155,49339.79305,544338.5656
Aug,50724.37833,0,129856.1757,113770.2078,6306.548282,35109.29281,91453.81641,21639.95135,41799.89593,11165.8172,47735.13279,549561.2167
Sep,49620.89641,54771.975,127037.8611,78058.71614,5419.523452,22290.82469,88074.20936,19669.5877,35825.4042,11182.15595,38674.98537,530626.1394
Oct,50086.34732,116501.5272,157616.59,75184.1064,5118.387079,23682.29465,80341.58603,12599.98503,29920.00997,9360.307299,34127.43272,594538.5736
Nov,48990.24847,125194.4171,207702.9494,60397.82759,4637.825421,24328.15253,70324.89401,14174.58159,32609.55524,8537.600769,34593.4628,631491.5149
Dec,49272.90428,134660.6397,253178.9947,63620.62916,4974.626983,25115.77657,50853.21359,18468.37323,31599.57875,8005.378573,35495.6235,675245.739
Grand Total,594612.9077,949893.0915,1937439.637,1035974.716,69330.68395,316923.409,1032584.556,231836.1843,438649.315,124037.1872,496077.2739,7227358.96
,,,,,,,,,,,,
,,2887332.728,,,,,,,,,,
