carriers,(Multiple Items),,
,,,
Sum of carrier_prod,Column Labels,,
Row Labels,biomass,grid_electricity,Grand Total
Jan,138472.6875,476961.4786,615434.166
Feb,128507.6196,442637.3564,571144.976
Mar,132617.5373,456793.7389,589411.2763
Apr,119166.6882,410463.0373,529629.7254
May,0,489161.55,489161.55
Jun,0,455286.75,455286.75
Jul,0,466999.85,466999.85
Aug,0,471835.15,471835.15
Sep,54771.975,399819.675,454591.65
Oct,116501.5272,401283.0384,517784.5656
Nov,125194.4171,431225.214,556419.6311
Dec,134660.6397,463831.0915,598491.7313
Grand Total,949893.0915,5366297.93,6316191.022
