carriers,locs,techs,timesteps,carrier_prod
biomass,Mainkofen,supply_biomass,2023-01-01 00:00:00,616.8625
biomass,Mainkofen,supply_biomass,2023-01-01 01:00:00,800.81875
biomass,Mainkofen,supply_biomass,2023-01-01 02:00:00,800.3375
biomass,Mainkofen,supply_biomass,2023-01-01 03:00:00,807.15
biomass,Mainkofen,supply_biomass,2023-01-01 04:00:00,825.4625
biomass,Mainkofen,supply_biomass,2023-01-01 05:00:00,848.175
biomass,Mainkofen,supply_biomass,2023-01-01 06:00:00,919.9125
biomass,Mainkofen,supply_biomass,2023-01-01 07:00:00,966.2125
biomass,Mainkofen,supply_biomass,2023-01-01 08:00:00,994.99375
biomass,Mainkofen,supply_biomass,2023-01-01 09:00:00,983.94375
biomass,Mainkofen,supply_biomass,2023-01-01 10:00:00,925.93125
biomass,Mainkofen,supply_biomass,2023-01-01 11:00:00,900.5125
biomass,Mainkofen,supply_biomass,2023-01-01 12:00:00,883.61875
biomass,Mainkofen,supply_biomass,2023-01-01 13:00:00,904.8375
biomass,Mainkofen,supply_biomass,2023-01-01 14:00:00,873.64375
biomass,Mainkofen,supply_biomass,2023-01-01 15:00:00,851.5125
biomass,Mainkofen,supply_biomass,2023-01-01 16:00:00,866.8875
biomass,Mainkofen,supply_biomass,2023-01-01 17:00:00,946.70625
biomass,Mainkofen,supply_biomass,2023-01-01 18:00:00,885.60625
biomass,Mainkofen,supply_biomass,2023-01-01 19:00:00,885.24375
biomass,Mainkofen,supply_biomass,2023-01-01 20:00:00,892.05625
biomass,Mainkofen,supply_biomass,2023-01-01 21:00:00,860.6625
biomass,Mainkofen,supply_biomass,2023-01-01 22:00:00,851.275
biomass,Mainkofen,supply_biomass,2023-01-01 23:00:00,836.0875
biomass,Mainkofen,supply_biomass,2023-01-02 00:00:00,805.46875
biomass,Mainkofen,supply_biomass,2023-01-02 01:00:00,811.1625
biomass,Mainkofen,supply_biomass,2023-01-02 02:00:00,809.025
biomass,Mainkofen,supply_biomass,2023-01-02 03:00:00,824.83125
biomass,Mainkofen,supply_biomass,2023-01-02 04:00:00,842.28125
biomass,Mainkofen,supply_biomass,2023-01-02 05:00:00,897.1625
biomass,Mainkofen,supply_biomass,2023-01-02 06:00:00,945.03125
biomass,Mainkofen,supply_biomass,2023-01-02 07:00:00,1114.975
biomass,Mainkofen,supply_biomass,2023-01-02 08:00:00,1273.0187
biomass,Mainkofen,supply_biomass,2023-01-02 09:00:00,1280.025
biomass,Mainkofen,supply_biomass,2023-01-02 10:00:00,490.3875
biomass,Mainkofen,supply_biomass,2023-01-02 11:00:00,1125.625
biomass,Mainkofen,supply_biomass,2023-01-02 12:00:00,1103.8063
biomass,Mainkofen,supply_biomass,2023-01-02 13:00:00,829.80625
biomass,Mainkofen,supply_biomass,2023-01-02 14:00:00,802.95
biomass,Mainkofen,supply_biomass,2023-01-02 15:00:00,1070.2938
biomass,Mainkofen,supply_biomass,2023-01-02 16:00:00,1019.2438
biomass,Mainkofen,supply_biomass,2023-01-02 17:00:00,1006.875
biomass,Mainkofen,supply_biomass,2023-01-02 18:00:00,982.05
biomass,Mainkofen,supply_biomass,2023-01-02 19:00:00,926.93125
biomass,Mainkofen,supply_biomass,2023-01-02 20:00:00,944.075
biomass,Mainkofen,supply_biomass,2023-01-02 21:00:00,874.2125
biomass,Mainkofen,supply_biomass,2023-01-02 22:00:00,861.35625
biomass,Mainkofen,supply_biomass,2023-01-02 23:00:00,836.1875
biomass,Mainkofen,supply_biomass,2023-01-03 00:00:00,818.7
biomass,Mainkofen,supply_biomass,2023-01-03 01:00:00,819.8625
biomass,Mainkofen,supply_biomass,2023-01-03 02:00:00,812.70625
biomass,Mainkofen,supply_biomass,2023-01-03 03:00:00,817.40625
biomass,Mainkofen,supply_biomass,2023-01-03 04:00:00,850.4875
biomass,Mainkofen,supply_biomass,2023-01-03 05:00:00,897.6875
biomass,Mainkofen,supply_biomass,2023-01-03 06:00:00,965.2625
biomass,Mainkofen,supply_biomass,2023-01-03 07:00:00,1157.9
biomass,Mainkofen,supply_biomass,2023-01-03 08:00:00,1265.3125
biomass,Mainkofen,supply_biomass,2023-01-03 09:00:00,1288.15
biomass,Mainkofen,supply_biomass,2023-01-03 10:00:00,1205.8063
biomass,Mainkofen,supply_biomass,2023-01-03 11:00:00,1162.95
biomass,Mainkofen,supply_biomass,2023-01-03 12:00:00,1152.3
biomass,Mainkofen,supply_biomass,2023-01-03 13:00:00,1152.3687
biomass,Mainkofen,supply_biomass,2023-01-03 14:00:00,1137.1562
biomass,Mainkofen,supply_biomass,2023-01-03 15:00:00,1113.4312
biomass,Mainkofen,supply_biomass,2023-01-03 16:00:00,1056.1187
biomass,Mainkofen,supply_biomass,2023-01-03 17:00:00,1071.1188
biomass,Mainkofen,supply_biomass,2023-01-03 18:00:00,1021.6438
biomass,Mainkofen,supply_biomass,2023-01-03 19:00:00,983.8375
biomass,Mainkofen,supply_biomass,2023-01-03 20:00:00,961.11875
biomass,Mainkofen,supply_biomass,2023-01-03 21:00:00,922.70625
biomass,Mainkofen,supply_biomass,2023-01-03 22:00:00,876.2
biomass,Mainkofen,supply_biomass,2023-01-03 23:00:00,855.5875
biomass,Mainkofen,supply_biomass,2023-01-04 00:00:00,850.5125
biomass,Mainkofen,supply_biomass,2023-01-04 01:00:00,822.81875
biomass,Mainkofen,supply_biomass,2023-01-04 02:00:00,839.23125
biomass,Mainkofen,supply_biomass,2023-01-04 03:00:00,846.31875
biomass,Mainkofen,supply_biomass,2023-01-04 04:00:00,861.93125
biomass,Mainkofen,supply_biomass,2023-01-04 05:00:00,911.1125
biomass,Mainkofen,supply_biomass,2023-01-04 06:00:00,983.7625
biomass,Mainkofen,supply_biomass,2023-01-04 07:00:00,1174.85
biomass,Mainkofen,supply_biomass,2023-01-04 08:00:00,1323.625
biomass,Mainkofen,supply_biomass,2023-01-04 09:00:00,1351.45
biomass,Mainkofen,supply_biomass,2023-01-04 10:00:00,1264.8375
biomass,Mainkofen,supply_biomass,2023-01-04 11:00:00,1222.7188
biomass,Mainkofen,supply_biomass,2023-01-04 12:00:00,1175.1625
biomass,Mainkofen,supply_biomass,2023-01-04 13:00:00,1213.2
biomass,Mainkofen,supply_biomass,2023-01-04 14:00:00,1200.15
biomass,Mainkofen,supply_biomass,2023-01-04 15:00:00,1130.5312
biomass,Mainkofen,supply_biomass,2023-01-04 16:00:00,1111.2062
biomass,Mainkofen,supply_biomass,2023-01-04 17:00:00,1056.2437
biomass,Mainkofen,supply_biomass,2023-01-04 18:00:00,1044.9938
biomass,Mainkofen,supply_biomass,2023-01-04 19:00:00,976.78125
biomass,Mainkofen,supply_biomass,2023-01-04 20:00:00,961.075
biomass,Mainkofen,supply_biomass,2023-01-04 21:00:00,903.3625
biomass,Mainkofen,supply_biomass,2023-01-04 22:00:00,858.8625
biomass,Mainkofen,supply_biomass,2023-01-04 23:00:00,824.18125
biomass,Mainkofen,supply_biomass,2023-01-05 00:00:00,806.475
biomass,Mainkofen,supply_biomass,2023-01-05 01:00:00,796.21875
biomass,Mainkofen,supply_biomass,2023-01-05 02:00:00,801.7125
biomass,Mainkofen,supply_biomass,2023-01-05 03:00:00,790.13125
biomass,Mainkofen,supply_biomass,2023-01-05 04:00:00,821.55
biomass,Mainkofen,supply_biomass,2023-01-05 05:00:00,838.5
biomass,Mainkofen,supply_biomass,2023-01-05 06:00:00,940.2125
biomass,Mainkofen,supply_biomass,2023-01-05 07:00:00,1124.325
biomass,Mainkofen,supply_biomass,2023-01-05 08:00:00,1221.5375
biomass,Mainkofen,supply_biomass,2023-01-05 09:00:00,1257.4625
biomass,Mainkofen,supply_biomass,2023-01-05 10:00:00,1188.3688
biomass,Mainkofen,supply_biomass,2023-01-05 11:00:00,1182.2188
biomass,Mainkofen,supply_biomass,2023-01-05 12:00:00,1176.5938
biomass,Mainkofen,supply_biomass,2023-01-05 13:00:00,1157.7312
biomass,Mainkofen,supply_biomass,2023-01-05 14:00:00,1130.425
biomass,Mainkofen,supply_biomass,2023-01-05 15:00:00,1087.1375
biomass,Mainkofen,supply_biomass,2023-01-05 16:00:00,1042.075
biomass,Mainkofen,supply_biomass,2023-01-05 17:00:00,1022.3
biomass,Mainkofen,supply_biomass,2023-01-05 18:00:00,984.11875
biomass,Mainkofen,supply_biomass,2023-01-05 19:00:00,936.06875
biomass,Mainkofen,supply_biomass,2023-01-05 20:00:00,928.7625
biomass,Mainkofen,supply_biomass,2023-01-05 21:00:00,880.6625
biomass,Mainkofen,supply_biomass,2023-01-05 22:00:00,847.15625
biomass,Mainkofen,supply_biomass,2023-01-05 23:00:00,820.775
biomass,Mainkofen,supply_biomass,2023-01-06 00:00:00,810.6875
biomass,Mainkofen,supply_biomass,2023-01-06 01:00:00,798.30625
biomass,Mainkofen,supply_biomass,2023-01-06 02:00:00,787.0375
biomass,Mainkofen,supply_biomass,2023-01-06 03:00:00,810.55625
biomass,Mainkofen,supply_biomass,2023-01-06 04:00:00,799.3125
biomass,Mainkofen,supply_biomass,2023-01-06 05:00:00,850.1
biomass,Mainkofen,supply_biomass,2023-01-06 06:00:00,884.475
biomass,Mainkofen,supply_biomass,2023-01-06 07:00:00,965.43125
biomass,Mainkofen,supply_biomass,2023-01-06 08:00:00,999.8625
biomass,Mainkofen,supply_biomass,2023-01-06 09:00:00,1011.4438
biomass,Mainkofen,supply_biomass,2023-01-06 10:00:00,946.30625
biomass,Mainkofen,supply_biomass,2023-01-06 11:00:00,948.9375
biomass,Mainkofen,supply_biomass,2023-01-06 12:00:00,929.75
biomass,Mainkofen,supply_biomass,2023-01-06 13:00:00,932.65
biomass,Mainkofen,supply_biomass,2023-01-06 14:00:00,928.15625
biomass,Mainkofen,supply_biomass,2023-01-06 15:00:00,880.175
biomass,Mainkofen,supply_biomass,2023-01-06 16:00:00,923.83125
biomass,Mainkofen,supply_biomass,2023-01-06 17:00:00,961.04375
biomass,Mainkofen,supply_biomass,2023-01-06 18:00:00,930.96875
biomass,Mainkofen,supply_biomass,2023-01-06 19:00:00,903.53125
biomass,Mainkofen,supply_biomass,2023-01-06 20:00:00,895.05
biomass,Mainkofen,supply_biomass,2023-01-06 21:00:00,850.9875
biomass,Mainkofen,supply_biomass,2023-01-06 22:00:00,829.8375
biomass,Mainkofen,supply_biomass,2023-01-06 23:00:00,809.71875
biomass,Mainkofen,supply_biomass,2023-01-07 00:00:00,786.6
biomass,Mainkofen,supply_biomass,2023-01-07 01:00:00,782.1875
biomass,Mainkofen,supply_biomass,2023-01-07 02:00:00,776.0125
biomass,Mainkofen,supply_biomass,2023-01-07 03:00:00,779.3875
biomass,Mainkofen,supply_biomass,2023-01-07 04:00:00,786.9
biomass,Mainkofen,supply_biomass,2023-01-07 05:00:00,821.93125
biomass,Mainkofen,supply_biomass,2023-01-07 06:00:00,870.625
biomass,Mainkofen,supply_biomass,2023-01-07 07:00:00,956.61875
biomass,Mainkofen,supply_biomass,2023-01-07 08:00:00,988.8375
biomass,Mainkofen,supply_biomass,2023-01-07 09:00:00,994.71875
biomass,Mainkofen,supply_biomass,2023-01-07 10:00:00,936.5
biomass,Mainkofen,supply_biomass,2023-01-07 11:00:00,929.56875
biomass,Mainkofen,supply_biomass,2023-01-07 12:00:00,942.0
biomass,Mainkofen,supply_biomass,2023-01-07 13:00:00,975.95625
biomass,Mainkofen,supply_biomass,2023-01-07 14:00:00,914.38125
biomass,Mainkofen,supply_biomass,2023-01-07 15:00:00,892.15625
biomass,Mainkofen,supply_biomass,2023-01-07 16:00:00,891.9875
biomass,Mainkofen,supply_biomass,2023-01-07 17:00:00,986.05625
biomass,Mainkofen,supply_biomass,2023-01-07 18:00:00,956.9875
biomass,Mainkofen,supply_biomass,2023-01-07 19:00:00,937.825
biomass,Mainkofen,supply_biomass,2023-01-07 20:00:00,932.04375
biomass,Mainkofen,supply_biomass,2023-01-07 21:00:00,898.3
biomass,Mainkofen,supply_biomass,2023-01-07 22:00:00,876.375
biomass,Mainkofen,supply_biomass,2023-01-07 23:00:00,865.95625
biomass,Mainkofen,supply_biomass,2023-01-08 00:00:00,854.325
biomass,Mainkofen,supply_biomass,2023-01-08 01:00:00,852.9
biomass,Mainkofen,supply_biomass,2023-01-08 02:00:00,831.11875
biomass,Mainkofen,supply_biomass,2023-01-08 03:00:00,847.45625
biomass,Mainkofen,supply_biomass,2023-01-08 04:00:00,849.425
biomass,Mainkofen,supply_biomass,2023-01-08 05:00:00,888.48125
biomass,Mainkofen,supply_biomass,2023-01-08 06:00:00,941.53125
biomass,Mainkofen,supply_biomass,2023-01-08 07:00:00,1023.8
biomass,Mainkofen,supply_biomass,2023-01-08 08:00:00,1034.0438
biomass,Mainkofen,supply_biomass,2023-01-08 09:00:00,1057.3063
biomass,Mainkofen,supply_biomass,2023-01-08 10:00:00,1001.8625
biomass,Mainkofen,supply_biomass,2023-01-08 11:00:00,991.125
biomass,Mainkofen,supply_biomass,2023-01-08 12:00:00,992.11875
biomass,Mainkofen,supply_biomass,2023-01-08 13:00:00,997.83125
biomass,Mainkofen,supply_biomass,2023-01-08 14:00:00,1000.3
biomass,Mainkofen,supply_biomass,2023-01-08 15:00:00,970.18125
biomass,Mainkofen,supply_biomass,2023-01-08 16:00:00,985.49375
biomass,Mainkofen,supply_biomass,2023-01-08 17:00:00,1005.7687
biomass,Mainkofen,supply_biomass,2023-01-08 18:00:00,997.63125
biomass,Mainkofen,supply_biomass,2023-01-08 19:00:00,960.775
biomass,Mainkofen,supply_biomass,2023-01-08 20:00:00,955.59375
biomass,Mainkofen,supply_biomass,2023-01-08 21:00:00,902.73125
biomass,Mainkofen,supply_biomass,2023-01-08 22:00:00,889.575
biomass,Mainkofen,supply_biomass,2023-01-08 23:00:00,833.1875
biomass,Mainkofen,supply_biomass,2023-01-09 00:00:00,869.875
biomass,Mainkofen,supply_biomass,2023-01-09 01:00:00,847.1625
biomass,Mainkofen,supply_biomass,2023-01-09 02:00:00,859.78125
biomass,Mainkofen,supply_biomass,2023-01-09 03:00:00,841.49375
biomass,Mainkofen,supply_biomass,2023-01-09 04:00:00,876.2875
biomass,Mainkofen,supply_biomass,2023-01-09 05:00:00,891.90625
biomass,Mainkofen,supply_biomass,2023-01-09 06:00:00,984.1875
biomass,Mainkofen,supply_biomass,2023-01-09 07:00:00,1223.0938
biomass,Mainkofen,supply_biomass,2023-01-09 08:00:00,1336.8438
biomass,Mainkofen,supply_biomass,2023-01-09 09:00:00,1360.0125
biomass,Mainkofen,supply_biomass,2023-01-09 10:00:00,1297.8062
biomass,Mainkofen,supply_biomass,2023-01-09 11:00:00,1241.5187
biomass,Mainkofen,supply_biomass,2023-01-09 12:00:00,1208.3938
biomass,Mainkofen,supply_biomass,2023-01-09 13:00:00,1222.3188
biomass,Mainkofen,supply_biomass,2023-01-09 14:00:00,1214.7562
biomass,Mainkofen,supply_biomass,2023-01-09 15:00:00,1181.9125
biomass,Mainkofen,supply_biomass,2023-01-09 16:00:00,1117.075
biomass,Mainkofen,supply_biomass,2023-01-09 17:00:00,1007.5063
biomass,Mainkofen,supply_biomass,2023-01-09 18:00:00,986.775
biomass,Mainkofen,supply_biomass,2023-01-09 19:00:00,945.80625
biomass,Mainkofen,supply_biomass,2023-01-09 20:00:00,914.73125
biomass,Mainkofen,supply_biomass,2023-01-09 21:00:00,854.575
biomass,Mainkofen,supply_biomass,2023-01-09 22:00:00,816.25
biomass,Mainkofen,supply_biomass,2023-01-09 23:00:00,786.45
biomass,Mainkofen,supply_biomass,2023-01-10 00:00:00,785.13125
biomass,Mainkofen,supply_biomass,2023-01-10 01:00:00,773.00625
biomass,Mainkofen,supply_biomass,2023-01-10 02:00:00,769.0125
biomass,Mainkofen,supply_biomass,2023-01-10 03:00:00,777.675
biomass,Mainkofen,supply_biomass,2023-01-10 04:00:00,799.84375
biomass,Mainkofen,supply_biomass,2023-01-10 05:00:00,845.125
biomass,Mainkofen,supply_biomass,2023-01-10 06:00:00,930.59375
biomass,Mainkofen,supply_biomass,2023-01-10 07:00:00,1160.7938
biomass,Mainkofen,supply_biomass,2023-01-10 08:00:00,1260.5188
biomass,Mainkofen,supply_biomass,2023-01-10 09:00:00,1266.6063
biomass,Mainkofen,supply_biomass,2023-01-10 10:00:00,1205.1375
biomass,Mainkofen,supply_biomass,2023-01-10 11:00:00,1198.7063
biomass,Mainkofen,supply_biomass,2023-01-10 12:00:00,1179.4125
biomass,Mainkofen,supply_biomass,2023-01-10 13:00:00,1186.075
biomass,Mainkofen,supply_biomass,2023-01-10 14:00:00,1216.5312
biomass,Mainkofen,supply_biomass,2023-01-10 15:00:00,1213.0125
biomass,Mainkofen,supply_biomass,2023-01-10 16:00:00,1176.6
biomass,Mainkofen,supply_biomass,2023-01-10 17:00:00,1099.4938
biomass,Mainkofen,supply_biomass,2023-01-10 18:00:00,1077.4688
biomass,Mainkofen,supply_biomass,2023-01-10 19:00:00,1018.7313
biomass,Mainkofen,supply_biomass,2023-01-10 20:00:00,992.23125
biomass,Mainkofen,supply_biomass,2023-01-10 21:00:00,939.50625
biomass,Mainkofen,supply_biomass,2023-01-10 22:00:00,921.6625
biomass,Mainkofen,supply_biomass,2023-01-10 23:00:00,897.5625
biomass,Mainkofen,supply_biomass,2023-01-11 00:00:00,887.46875
biomass,Mainkofen,supply_biomass,2023-01-11 01:00:00,886.66875
biomass,Mainkofen,supply_biomass,2023-01-11 02:00:00,874.10625
biomass,Mainkofen,supply_biomass,2023-01-11 03:00:00,874.05
biomass,Mainkofen,supply_biomass,2023-01-11 04:00:00,904.28125
biomass,Mainkofen,supply_biomass,2023-01-11 05:00:00,954.2625
biomass,Mainkofen,supply_biomass,2023-01-11 06:00:00,1032.8875
biomass,Mainkofen,supply_biomass,2023-01-11 07:00:00,1266.8
biomass,Mainkofen,supply_biomass,2023-01-11 08:00:00,1389.3187
biomass,Mainkofen,supply_biomass,2023-01-11 09:00:00,1388.9062
biomass,Mainkofen,supply_biomass,2023-01-11 10:00:00,1303.7062
biomass,Mainkofen,supply_biomass,2023-01-11 11:00:00,1259.025
biomass,Mainkofen,supply_biomass,2023-01-11 12:00:00,1241.1313
biomass,Mainkofen,supply_biomass,2023-01-11 13:00:00,1205.4562
biomass,Mainkofen,supply_biomass,2023-01-11 14:00:00,1226.375
biomass,Mainkofen,supply_biomass,2023-01-11 15:00:00,1196.15
biomass,Mainkofen,supply_biomass,2023-01-11 16:00:00,1150.9875
biomass,Mainkofen,supply_biomass,2023-01-11 17:00:00,1121.4062
biomass,Mainkofen,supply_biomass,2023-01-11 18:00:00,1051.6125
biomass,Mainkofen,supply_biomass,2023-01-11 19:00:00,994.43125
biomass,Mainkofen,supply_biomass,2023-01-11 20:00:00,950.525
biomass,Mainkofen,supply_biomass,2023-01-11 21:00:00,917.0125
biomass,Mainkofen,supply_biomass,2023-01-11 22:00:00,896.1625
biomass,Mainkofen,supply_biomass,2023-01-11 23:00:00,856.85625
biomass,Mainkofen,supply_biomass,2023-01-12 00:00:00,840.2875
biomass,Mainkofen,supply_biomass,2023-01-12 01:00:00,836.4375
biomass,Mainkofen,supply_biomass,2023-01-12 02:00:00,841.2125
biomass,Mainkofen,supply_biomass,2023-01-12 03:00:00,845.7875
biomass,Mainkofen,supply_biomass,2023-01-12 04:00:00,844.95625
biomass,Mainkofen,supply_biomass,2023-01-12 05:00:00,906.50625
biomass,Mainkofen,supply_biomass,2023-01-12 06:00:00,968.8875
biomass,Mainkofen,supply_biomass,2023-01-12 07:00:00,1217.9125
biomass,Mainkofen,supply_biomass,2023-01-12 08:00:00,1314.375
biomass,Mainkofen,supply_biomass,2023-01-12 09:00:00,1314.9
biomass,Mainkofen,supply_biomass,2023-01-12 10:00:00,1283.2063
biomass,Mainkofen,supply_biomass,2023-01-12 11:00:00,1229.7313
biomass,Mainkofen,supply_biomass,2023-01-12 12:00:00,1203.9688
biomass,Mainkofen,supply_biomass,2023-01-12 13:00:00,1189.2125
biomass,Mainkofen,supply_biomass,2023-01-12 14:00:00,1184.9062
