carriers,(Multiple Items),,,,,,,,,,,
,,,,,,,,,,,,
Sum of carrier_prod,Column Labels,,,,,,,,,,,
Row Labels,battery_storage,biomass,grid_electricity,pv_parking_1,pv_parking_2,pv_parking_3,pv_parking_4,pv_rooftop_1,pv_rooftop_2,pv_rooftop_3,pv_rooftop_4,Grand Total
Jan,51416.15233,138472.6875,638583.2035,99542.5769,6968.925036,39732.66412,112889.8832,43080.48699,61592.56537,22582.30443,63876.13931,1278737.589
Feb,46144.70868,128507.6196,525642.984,107857.7077,8147.792259,40136.08303,124785.0922,38061.20622,56099.18457,22315.8534,73220.51613,1170918.748
Mar,50088.04667,132617.5373,486708.275,122268.0426,9573.494788,49257.60536,155552.8687,49949.4981,82756.77431,28152.51142,84508.28353,1251432.938
Apr,48855.41364,119166.6882,380131.0898,141854.5994,11187.2725,55740.05902,177592.173,39362.05941,76509.21823,27651.4599,93303.11521,1171353.148
May,50087.67161,0,118349.2508,97274.47246,5927.776952,26588.30182,115207.1908,25416.99553,51503.735,12885.86899,62674.29486,565915.5588
Jun,48855.41364,0,99541.68639,110635.7772,7039.141573,30393.89373,102176.9814,18883.12886,43959.63791,13714.03896,54949.83016,530149.5299
Jul,50471.15708,0,105357.343,101529.6547,5834.062485,28937.28433,117315.3167,24177.04829,45596.14334,12755.54484,52365.01099,544338.5657
Aug,50724.37833,0,129856.1757,104988.4533,5432.474982,28267.22219,103741.5879,23160.66928,46347.08097,12992.9342,44050.23981,549561.2167
Sep,49620.89641,54771.975,286860.6983,108523.4049,7458.445801,37973.07152,117994.3465,27645.57123,53450.08121,18792.21601,69860.40388,832951.1107
Oct,50088.04667,116501.5272,496751.3345,115889.9568,8964.379673,45592.84049,127237.2229,39224.58202,67077.86651,25865.97576,87694.93151,1180888.664
Nov,48990.24847,125194.4171,575374.2027,94460.30653,7485.716218,39548.23053,130552.4208,32682.31499,54942.80611,18853.46491,70266.70501,1198350.833
Dec,49272.90428,134660.6397,661790.0874,93213.31787,6426.107905,34611.09383,108619.3299,32864.97677,56141.95613,19328.49669,64071.45745,1261000.368
Grand Total,594615.0378,949893.0915,4504946.331,1298038.27,90445.59017,456778.35,1493664.414,394508.5377,695977.0496,235890.6695,820840.9279,11535598.27
