carriers,locs,techs,timesteps,carrier_prod
biomass,Mainkofen,supply_biomass,2023-01-01 00:00:00,2798.0883
biomass,Mainkofen,supply_biomass,2023-01-01 01:00:00,3632.5138
biomass,Mainkofen,supply_biomass,2023-01-01 02:00:00,3630.3309
biomass,Mainkofen,supply_biomass,2023-01-01 03:00:00,3661.2324
biomass,Mainkofen,supply_biomass,2023-01-01 04:00:00,3744.2979
biomass,Mainkofen,supply_biomass,2023-01-01 05:00:00,3750.0
biomass,Mainkofen,supply_biomass,2023-01-01 06:00:00,3750.0
biomass,Mainkofen,supply_biomass,2023-01-01 07:00:00,3750.0
biomass,Mainkofen,supply_biomass,2023-01-01 08:00:00,3750.0
biomass,Mainkofen,supply_biomass,2023-01-01 09:00:00,3750.0
biomass,Mainkofen,supply_biomass,2023-01-01 10:00:00,3750.0
biomass,Mainkofen,supply_biomass,2023-01-01 11:00:00,3750.0
biomass,Mainkofen,supply_biomass,2023-01-01 12:00:00,3750.0
biomass,Mainkofen,supply_biomass,2023-01-01 13:00:00,3750.0
biomass,Mainkofen,supply_biomass,2023-01-01 14:00:00,3750.0
biomass,Mainkofen,supply_biomass,2023-01-01 15:00:00,3750.0
biomass,Mainkofen,supply_biomass,2023-01-01 16:00:00,3750.0
biomass,Mainkofen,supply_biomass,2023-01-01 17:00:00,3750.0
biomass,Mainkofen,supply_biomass,2023-01-01 18:00:00,3750.0
biomass,Mainkofen,supply_biomass,2023-01-01 19:00:00,3750.0
biomass,Mainkofen,supply_biomass,2023-01-01 20:00:00,3750.0
biomass,Mainkofen,supply_biomass,2023-01-01 21:00:00,3750.0
biomass,Mainkofen,supply_biomass,2023-01-01 22:00:00,3750.0
biomass,Mainkofen,supply_biomass,2023-01-01 23:00:00,3750.0
biomass,Mainkofen,supply_biomass,2023-01-02 00:00:00,3653.6063
biomass,Mainkofen,supply_biomass,2023-01-02 01:00:00,3679.4331
biomass,Mainkofen,supply_biomass,2023-01-02 02:00:00,3669.7374
biomass,Mainkofen,supply_biomass,2023-01-02 03:00:00,3741.4345
biomass,Mainkofen,supply_biomass,2023-01-02 04:00:00,3750.0
biomass,Mainkofen,supply_biomass,2023-01-02 05:00:00,3750.0
biomass,Mainkofen,supply_biomass,2023-01-02 06:00:00,3750.0
biomass,Mainkofen,supply_biomass,2023-01-02 07:00:00,3750.0
biomass,Mainkofen,supply_biomass,2023-01-02 08:00:00,3750.0
biomass,Mainkofen,supply_biomass,2023-01-02 09:00:00,3750.0
biomass,Mainkofen,supply_biomass,2023-01-02 10:00:00,2224.3977
biomass,Mainkofen,supply_biomass,2023-01-02 11:00:00,3750.0
biomass,Mainkofen,supply_biomass,2023-01-02 12:00:00,3750.0
biomass,Mainkofen,supply_biomass,2023-01-02 13:00:00,3750.0
biomass,Mainkofen,supply_biomass,2023-01-02 14:00:00,3642.1812
biomass,Mainkofen,supply_biomass,2023-01-02 15:00:00,3750.0
biomass,Mainkofen,supply_biomass,2023-01-02 16:00:00,3750.0
biomass,Mainkofen,supply_biomass,2023-01-02 17:00:00,3750.0
biomass,Mainkofen,supply_biomass,2023-01-02 18:00:00,3750.0
biomass,Mainkofen,supply_biomass,2023-01-02 19:00:00,3750.0
biomass,Mainkofen,supply_biomass,2023-01-02 20:00:00,3750.0
biomass,Mainkofen,supply_biomass,2023-01-02 21:00:00,3750.0
biomass,Mainkofen,supply_biomass,2023-01-02 22:00:00,3750.0
biomass,Mainkofen,supply_biomass,2023-01-02 23:00:00,3750.0
biomass,Mainkofen,supply_biomass,2023-01-03 00:00:00,3713.6232
biomass,Mainkofen,supply_biomass,2023-01-03 01:00:00,3718.8963
biomass,Mainkofen,supply_biomass,2023-01-03 02:00:00,3686.4356
biomass,Mainkofen,supply_biomass,2023-01-03 03:00:00,3707.7547
biomass,Mainkofen,supply_biomass,2023-01-03 04:00:00,3750.0
biomass,Mainkofen,supply_biomass,2023-01-03 05:00:00,3750.0
biomass,Mainkofen,supply_biomass,2023-01-03 06:00:00,3750.0
biomass,Mainkofen,supply_biomass,2023-01-03 07:00:00,3750.0
biomass,Mainkofen,supply_biomass,2023-01-03 08:00:00,3750.0
biomass,Mainkofen,supply_biomass,2023-01-03 09:00:00,3750.0
biomass,Mainkofen,supply_biomass,2023-01-03 10:00:00,3750.0
biomass,Mainkofen,supply_biomass,2023-01-03 11:00:00,3750.0
biomass,Mainkofen,supply_biomass,2023-01-03 12:00:00,3750.0
biomass,Mainkofen,supply_biomass,2023-01-03 13:00:00,3750.0
biomass,Mainkofen,supply_biomass,2023-01-03 14:00:00,3750.0
biomass,Mainkofen,supply_biomass,2023-01-03 15:00:00,3750.0
biomass,Mainkofen,supply_biomass,2023-01-03 16:00:00,3750.0
biomass,Mainkofen,supply_biomass,2023-01-03 17:00:00,3750.0
biomass,Mainkofen,supply_biomass,2023-01-03 18:00:00,3750.0
biomass,Mainkofen,supply_biomass,2023-01-03 19:00:00,3750.0
biomass,Mainkofen,supply_biomass,2023-01-03 20:00:00,3750.0
biomass,Mainkofen,supply_biomass,2023-01-03 21:00:00,3750.0
biomass,Mainkofen,supply_biomass,2023-01-03 22:00:00,3750.0
biomass,Mainkofen,supply_biomass,2023-01-03 23:00:00,3750.0
biomass,Mainkofen,supply_biomass,2023-01-04 00:00:00,3750.0
biomass,Mainkofen,supply_biomass,2023-01-04 01:00:00,3732.3058
biomass,Mainkofen,supply_biomass,2023-01-04 02:00:00,3750.0
biomass,Mainkofen,supply_biomass,2023-01-04 03:00:00,3750.0
biomass,Mainkofen,supply_biomass,2023-01-04 04:00:00,3750.0
biomass,Mainkofen,supply_biomass,2023-01-04 05:00:00,3750.0
biomass,Mainkofen,supply_biomass,2023-01-04 06:00:00,3750.0
biomass,Mainkofen,supply_biomass,2023-01-04 07:00:00,3750.0
biomass,Mainkofen,supply_biomass,2023-01-04 08:00:00,3750.0
biomass,Mainkofen,supply_biomass,2023-01-04 09:00:00,3750.0
biomass,Mainkofen,supply_biomass,2023-01-04 10:00:00,3750.0
biomass,Mainkofen,supply_biomass,2023-01-04 11:00:00,3750.0
biomass,Mainkofen,supply_biomass,2023-01-04 12:00:00,3750.0
biomass,Mainkofen,supply_biomass,2023-01-04 13:00:00,3750.0
biomass,Mainkofen,supply_biomass,2023-01-04 14:00:00,3750.0
biomass,Mainkofen,supply_biomass,2023-01-04 15:00:00,3750.0
biomass,Mainkofen,supply_biomass,2023-01-04 16:00:00,3750.0
biomass,Mainkofen,supply_biomass,2023-01-04 17:00:00,3750.0
biomass,Mainkofen,supply_biomass,2023-01-04 18:00:00,3750.0
biomass,Mainkofen,supply_biomass,2023-01-04 19:00:00,3750.0
