,net_grid_draw_kwh,biomass_el_prod_kwh,Mainkofen
2023-01-01 00:00:00,493.49,787.3046052631579,-1280.7946052631578
2023-01-01 01:00:00,640.655,787.3046052631579,-1427.9596052631578
2023-01-01 02:00:00,640.27,787.3046052631579,-1427.574605263158
2023-01-01 03:00:00,645.72,787.3046052631579,-1433.0246052631578
2023-01-01 04:00:00,660.37,787.3046052631579,-1447.674605263158
2023-01-01 05:00:00,678.54,787.3046052631579,-1465.844605263158
2023-01-01 06:00:00,735.9300000000001,787.3046052631579,-1523.2346052631578
2023-01-01 07:00:00,772.97,787.3046052631579,-1560.2746052631578
2023-01-01 08:00:00,795.995,787.3046052631579,-1583.299605263158
2023-01-01 09:00:00,787.155,787.3046052631579,-1574.4596052631578
2023-01-01 10:00:00,740.745,787.3046052631579,-1528.049605263158
2023-01-01 11:00:00,720.41,787.3046052631579,-1507.7146052631579
2023-01-01 12:00:00,706.895,787.3046052631579,-1494.199605263158
2023-01-01 13:00:00,723.87,787.3046052631579,-1511.174605263158
2023-01-01 14:00:00,698.915,787.3046052631579,-1486.219605263158
2023-01-01 15:00:00,681.21,787.3046052631579,-1468.514605263158
2023-01-01 16:00:00,693.51,787.3046052631579,-1480.8146052631578
2023-01-01 17:00:00,757.365,787.3046052631579,-1544.6696052631578
2023-01-01 18:00:00,708.485,787.3046052631579,-1495.789605263158
2023-01-01 19:00:00,708.1949999999999,787.3046052631579,-1495.4996052631577
2023-01-01 20:00:00,713.645,787.3046052631579,-1500.949605263158
2023-01-01 21:00:00,688.53,787.3046052631579,-1475.8346052631578
2023-01-01 22:00:00,681.02,787.3046052631579,-1468.324605263158
2023-01-01 23:00:00,668.87,787.3046052631579,-1456.174605263158
2023-01-02 00:00:00,644.375,787.3046052631579,-1431.679605263158
2023-01-02 01:00:00,648.9300000000001,787.3046052631579,-1436.2346052631578
2023-01-02 02:00:00,647.22,787.3046052631579,-1434.5246052631578
2023-01-02 03:00:00,659.865,787.3046052631579,-1447.1696052631578
2023-01-02 04:00:00,673.825,787.3046052631579,-1461.1296052631578
2023-01-02 05:00:00,717.73,787.3046052631579,-1505.034605263158
2023-01-02 06:00:00,756.025,787.3046052631579,-1543.3296052631579
2023-01-02 07:00:00,891.98,787.3046052631579,-1679.284605263158
2023-01-02 08:00:00,1018.415,787.3046052631579,-1805.719605263158
2023-01-02 09:00:00,1024.02,787.3046052631579,-1811.324605263158
2023-01-02 10:00:00,392.31,787.3046052631579,-1179.614605263158
2023-01-02 11:00:00,900.5,787.3046052631579,-1687.804605263158
2023-01-02 12:00:00,883.0450000000001,787.3046052631579,-1670.349605263158
2023-01-02 13:00:00,663.845,787.3046052631579,-1451.1496052631578
2023-01-02 14:00:00,642.36,787.3046052631579,-1429.664605263158
2023-01-02 15:00:00,856.235,787.3046052631579,-1643.539605263158
2023-01-02 16:00:00,815.395,787.3046052631579,-1602.699605263158
2023-01-02 17:00:00,805.5,787.3046052631579,-1592.804605263158
2023-01-02 18:00:00,785.64,787.3046052631579,-1572.9446052631579
2023-01-02 19:00:00,741.5450000000001,787.3046052631579,-1528.849605263158
2023-01-02 20:00:00,755.26,787.3046052631579,-1542.5646052631578
2023-01-02 21:00:00,699.37,787.3046052631579,-1486.674605263158
2023-01-02 22:00:00,689.085,787.3046052631579,-1476.389605263158
2023-01-02 23:00:00,668.95,787.3046052631579,-1456.2546052631578
2023-01-03 00:00:00,654.96,787.3046052631579,-1442.264605263158
2023-01-03 01:00:00,655.89,787.3046052631579,-1443.1946052631579
2023-01-03 02:00:00,650.165,787.3046052631579,-1437.469605263158
2023-01-03 03:00:00,653.925,787.3046052631579,-1441.2296052631577
2023-01-03 04:00:00,680.39,787.3046052631579,-1467.6946052631579
2023-01-03 05:00:00,718.15,787.3046052631579,-1505.4546052631579
2023-01-03 06:00:00,772.21,787.3046052631579,-1559.514605263158
2023-01-03 07:00:00,926.3199999999999,787.3046052631579,-1713.6246052631577
2023-01-03 08:00:00,1012.25,787.3046052631579,-1799.554605263158
2023-01-03 09:00:00,1030.52,787.3046052631579,-1817.824605263158
2023-01-03 10:00:00,964.645,787.3046052631579,-1751.949605263158
2023-01-03 11:00:00,930.36,787.3046052631579,-1717.664605263158
2023-01-03 12:00:00,921.84,787.3046052631579,-1709.144605263158
2023-01-03 13:00:00,921.895,787.3046052631579,-1709.199605263158
2023-01-03 14:00:00,909.725,787.3046052631579,-1697.029605263158
2023-01-03 15:00:00,890.745,787.3046052631579,-1678.049605263158
2023-01-03 16:00:00,844.895,787.3046052631579,-1632.199605263158
2023-01-03 17:00:00,856.895,787.3046052631579,-1644.199605263158
